source_index,question
0027,กรณีบริษัท ก. จดทะเบียนนิติบุคคคล มีรายได้ แต่ไม่ยื่นแบบแสดงรายการเพื่อเสียภาษีเงินได้นิติบุคคล และไม่ปรากฏรอบระยะเวลาบัญชี จะนับรอบระยะเวลาบัญชีอย่างไร และกรณีบริษัท ก. ไม่ยื่นรายการ ซึ่งจำเป็นต้องใช้ในการคำนวณภาษีเงินได้นิติบุคคลภายในระยะเวลาที่กฎหมายกำหนดไว้ เจ้าพนักงานประเมินมีอำนาจประเมินภาษีเงินได้นิติบุคคลของบริษัท ก. อย่างไร
0028,กรณีค่าชุดตรวจ ATK และค่าฉีดวัคซีนป้องกันโรคโควิด-19 ที่บริษัทหรือห้างหุ้นส่วนนิติบุคคลให้เป็นสวัสดิการของพนักงาน ถือเป็นประโยชน์เพิ่มของพนักงานที่ต้องเสียภาษีเงินได้บุคคลธรรมดาตามมาตรา 56 แห่งประมวลรัษฎากรหรือไม่
0029,มีข้อเท็จจริงสรุปได้ว่า สถาบันได้จดทะเบียนภาษีมูลค่าเพิ่ม โดยแจ้งว่าที่อยู่ของสถาบัน ตามใบทะเบียนภาษีมูลค่าเพิ่ม (ภ.พ.20) ได้แสดง ชื่อสถาบัน ตั้งอยู่ชื่ออาคาร เลขที่ (ส่วนแยกตลิ่งชัน) ถนน แขวง เขต จังหวัด แต่ในระบบ ค้นหารายชื่อผู้ประกอบการจดทะเบียนภาษีมูลค่าเพิ่ม (รายชื่อผู้ประกอบการ VAT) ทางเว็บไซต์กรมสรรพากร www.rd.go.th ไม่มีข้อความ (ส่วนแยกตลิ่งชัน) ซึ่งสถาบันได้รับใบกำกับภาษีจากคู่ค้าที่ใช้ข้อมูลที่อยู่ของสถาบันผ่านระบบค้นหารายชื่อดังกล่าว สถาบันสามารถใช้ภาษีซื้อในการคำนวณภาษีมูลค่าเพิ่ม ได้หรือไม่
0030,มหาวิทยาลัยเป็นนิติบุคคลมีฐานะเป็นหน่วยงานในกำกับของรัฐ เป็นผู้ให้บริการทางวิชาการดำเนินการจัดสอบแข่งขันแก่หน่วยงานภาครัฐหลายแห่ง จึงหารือว่า กรณีมหาวิทยาลัยเป็นผู้รับจ้าง และทำสัญญาจ้างกับหน่วยงานภาครัฐ จะได้รับยกเว้นอากรแสตมป์สำหรับสัญญาจ้างดังกล่าวหรือไม่
0031,"ส่วนราชการจ่ายค่าถ่ายเอกสารให้แก่ร้านค้าหรือบุคคลธรรมดาเป็นรายครั้งตามใบสั่งจ้างที่ได้จ้างในแต่ละครั้ง มิได้รวมจ่ายครั้งเดียวภายในเดือน โดยดำเนินการหักภาษีเงินได้ ณ ที่จ่าย ตามมาตรา 50 (4) แห่งประมวลรัษฎากร ดังนี้
  1. ใบสั่งซื้อ/สั่งจ้าง ที่มีราคาตั้งแต่ 10,000 บาท ขึ้นไป หักภาษีเงินได้ ณ ที่จ่าย ในอัตราร้อยละ 1
  2. ใบสั่งซื้อ/สั่งจ้าง ที่มีราคาต่ำกว่า 10,000 บาท ไม่หักภาษีเงินได้ ณ ที่จ่าย จึงสอบถามว่าการปฏิบัติดังกล่าวถูกต้องหรือไม่"
0032,"กรณีหน่วยงานซึ่งมีฐานะเป็นหน่วยงานของรัฐ ที่ไม่เป็นส่วนราชการ ได้รับมอบหมายจากรัฐบาลให้มีหน้าที่สนับสนุนการดำเนินการจัดระเบียบสายสื่อสาร ได้จ่ายเงินสนับสนุนค่าใช้จ่ายในการจัดระเบียบสายสื่อสารให้แก่ผู้รับใบอนุญาต หน่วยงานจึงขอหารือในประเด็น ดังนี้
    1. ภาษีมูลค่าเพิ่ม ผู้รับใบอนุญาตซึ่งเป็นผู้ที่ได้รับเงินสนับสนุนค่าใช้จ่ายดังกล่าว ต้องเรียกเก็บและออกใบกำกับภาษีให้หน่วยงาน หรือไม่ อย่างไร
    2. ภาษีเงินได้หัก ณ ที่จ่าย การจ่ายเงินสนับสนุนค่าใช้จ่ายดังกล่าว หน่วยงานมีหน้าที่ต้องหักภาษีเงินได้ ณ ที่จ่าย อัตราร้อยละ 1 และนำส่งกรมสรรพากรหรือไม่ อย่างไร"
0033,บริษัท ก. ได้นำเข้าโซเดียมไบคาร์บอเนต ฟีดเกรด (SODIUM BICARBONATE FEED GRADE) โดยมีสรรพคุณช่วยรักษาสมดุลของด่างและกรดในร่างกายของสัตว์บกและสัตว์ปีก ช่วยลดความเครียดในปลาโดยการกำจัดสารเป็นพิษออกจากร่างกาย ช่วยลดความเป็นกรดในของเสียซึ่งเกิดจากแบคทีเรียและก่อเชื้อโรค และช่วยลดการติดเชื้อในสัตว์น้ำ ซึ่งกรมปศุสัตว์ได้ออกใบสำคัญการขึ้นทะเบียนอาหารสัตว์ตามกฎหมายว่าด้วยการควบคุมคุณภาพอาหารสัตว์ และบริษัท ก. เป็นผู้รับอนุญาตนำเข้าอาหารสัตว์จากกรมปศุสัตว์ ตามใบอนุญาตนำเข้าอาหารสัตว์ควบคุมเฉพาะ (แบบ บ.น.ส.1) จึงขอหารือว่าการนำเข้าสินค้าดังกล่าวเป็นการนำเข้าเคมีภัณฑ์ที่ใช้สำหรับสัตว์ ซึ่งได้รับยกเว้นภาษีมูลค่าเพิ่ม ตามมาตรา 81 (1) (จ) และมาตรา 81 (2) (ก) แห่งประมวลรัษฎากร หรือไม่
0034,บริษัท ก. นำเข้าสินค้าแคลเซียมไฮโปคลอไรต์ (CALCIUM HYPOCHLORITE) โดยมีวัตถุประสงค์เพื่อจำหน่ายให้กับผู้เลี้ยงสัตว์น้ำ เนื่องจากสินค้าดังกล่าวมีคุณสมบัติเป็นผลิตภัณฑ์ที่ใช้ในทางการประมง และการเพาะเลี้ยงสัตว์น้ำ เพื่อประโยชน์แก่การควบคุม ป้องกัน กำจัด เชื้อจุลินทรีย์ ปรสิต พืช หรือสัตว์อื่น และได้รับการขึ้นทะเบียนเป็นวัตถุอันตราย ตามบัญชีรายชื่อวัตถุอันตราย แนบท้ายประกาศกระทรวงอุตสาหกรรม เรื่อง บัญชีรายชื่อ วัตถุอันตราย พ.ศ. 2556 ลงวันที่ 28 สิงหาคม พ.ศ. 2556 บัญชี 2 ที่กรมประมงรับผิดชอบ (บัญชีรายชื่อฯ) ได้รับยกเว้นภาษีมูลค่าเพิ่มหรือไม่
0035,สถาบันเป็นกิจการของรัฐได้มีโครงการประกวดรางวัลจริยธรรมและจรรยาบรรณดีเด่นเป็นประจำทุกปี สถาบันจึงขอหารือว่า กรณีรางวัลจริยธรรมและจรรยาบรรณดีเด่น และรางวัลในการมีส่วนร่วมสูงสุดในการโหวตรางวัลจริยธรรมและจรรยาบรรณดีเด่นที่พนักงานและหน่วยงานของสถาบันได้รับ ถือเป็นเงินได้ พึงประเมินหรือไม่ หากเป็นเงินได้พึงประเมิน ถือเป็นเงินได้พึงประเมินประเภทใด และสถาบันมีหน้าที่ต้องหักภาษีเงินได้ ณ ที่จ่าย สำหรับเงินรางวัลดังกล่าว หรือไม่ อย่างไร
0036,"บริษัทนำเข้า GELSYS OPC1 เพื่อใช้เป็นวัตถุดิบเพื่อผสมในการผลิตอาหารสัตว์ โดยเป็นสารเพิ่มความข้น สารก่อเจล สารทำให้คงตัว และเติมแต่งเพื่อให้เกิดความข้นในอาหารสัตว์ ทำให้สัตว์เลี้ยงเจริญอาหารและกินอาหารได้มากขึ้น โดยผลิตภัณฑ์ดังกล่าวไม่สามารถใช้ในการบริโภคสำหรับคนได้ และนำเข้าโคลีน คลอไรด์ 60% (Choline Chloride 60%) เพื่อใช้เป็นวัตถุดิบเพื่อผสมในการผลิตอาหารสัตว์ ประเภทวัตถุที่ผสมแล้ว ชนิดสารผสมล่วงหน้า (พรีมิกซ์) โดยมีสรรพคุณใช้เป็นส่วนผสมสำหรับอาหารสัตว์ เพื่อเสริมสร้างสุขภาพของสัตว์ และเพื่อปรับปรุงความสามารถในการป้องกันการเจ็บป่วยของการสะสมของไขมันในตับและไตบริษัทเห็นว่า GELSYS OPC1 ไม่เป็นอาหารสัตว์ที่จะต้องขึ้นทะเบียนอาหารสัตว์ตามพระราชบัญญัติควบคุมคุณภาพอาหารสัตว์ พ.ศ. 2558 แต่ต้องขออนุญาตนำเข้าจากกรมปศุสัตว์ ซึ่งบริษัทเป็นผู้รับใบอนุญาตนำเข้าอาหารสัตว์ตามใบอนุญาตนำเข้าอาหารสัตว์ควบคุมเฉพาะ (แบบ บ.น.ส.1) ส่วนผลิตภัณฑ์โคลีน คลอไรด์ 60% (Choline Chloride 60%) ซึ่งใช้เป็นวัตถุดิบเพื่อผสมในการผลิตอาหารสัตว์ ได้ขึ้นทะเบียนอาหารสัตว์ควบคุมเฉพาะกับกรมปศุสัตว์ ประเภทวัตถุที่ผสมแล้ว ชนิดสารผสมล่วงหน้า (พรีมิกซ์)
  บริษัทจึงขอหารือว่าการนำเข้า GELSYS OPC1 และการนำเข้าผลิตภัณฑ์โคลีน คลอไรด์ 60% (Choline Chloride 60%) ผลิตภัณฑ์ดังกล่าวเข้าลักษณะเป็นอาหารสัตว์ ตามมาตรา 81 (1) (ง) แห่งประมวลรัษฎากร ดังนั้น กรณีบริษัทนำเข้าสินค้าดังกล่าว จึงได้รับยกเว้นภาษีมูลค่าเพิ่ม ตามมาตรา 81 (2) (ก) แห่งประมวลรัษฎากร ถูกต้องหรือไม่"
0037,"บริษัทประกอบกิจการจำหน่ายน้ำมันเชื้อเพลิงและสินค้าภายในสถานีบริการ (สถานีฯ) บริษัทเป็น ผู้ประกอบกิจการขายปลีกน้ำมันเชื้อเพลิง ชำระภาษีมูลค่าเพิ่มจากมิเตอร์หัวจ่าย ตามคำขออนุมัติในแบบคำร้อง ภ.พ.07 ในการจำหน่ายน้ำมันเชื้อเพลิงบางกรณี ลูกค้าจะนำเงินมาชำระราคาล่วงหน้าไว้กับทางสถานีฯ จำนวนหนึ่ง เช่น 5,000 บาท และทางสถานีฯ ก็จะมอบคูปองใช้แทนเงินสด (คูปองฯ) มูลค่าฉบับละ 100 บาท ให้ไปจำนวน 50 ฉบับ ซึ่งลูกค้าจะมอบคูปองฯ ให้ผู้ใดก็ได้เพื่อนำมาใช้เติมน้ำมัน โดยไม่มีกำหนดอายุการใช้คูปองฯ โดยคูปองฯ ใช้ได้เฉพาะการเติมน้ำมันเชื้อเพลิงจากทางสถานีฯ เท่านั้น และใช้ได้ตามมูลค่าคูปองฯ ไม่มีการทอนเงินส่วนต่างในการใช้แต่ละครั้ง การคิดราคาน้ำมันเชื้อเพลิงจะขึ้นอยู่กับราคาขายปลีกในแต่ละวัน คูปองฯ ที่จำหน่ายออกไปแล้วสถานีฯ จะไม่รับคืน หรือไม่สามารถนำมาแลกเปลี่ยนเป็นเงินสดได้
  บริษัทฯ มีความเข้าใจว่า การจำหน่ายคูปองฯ ของสถานีฯ ถือว่าเป็นการรับชำระราคาค่าสินค้าล่วงหน้าซึ่งเกิดจุดความรับผิดทางภาษีมูลค่าเพิ่มแล้ว จึงต้องออกใบกำกับภาษีให้แก่ผู้ชำระราคา นำส่งภาษีขาย และผู้ชำระราคาที่เป็นผู้ประกอบการในระบบภาษีมูลค่าเพิ่มก็สามารถนำไปใช้เป็นภาษีซื้อของตนได้เช่นกัน โดยเมื่อผู้ซื้อนำคูปองฯ มาเติมน้ำมัน สถานีฯ ไม่จำเป็นต้องออกใบกำกับภาษีขายให้แก่ผู้ซื้ออีก หรือการจำหน่ายคูปองดังกล่าวไม่ถือเป็นการรับชำระราคาสินค้าล่วงหน้า แต่เป็นเพียงการแลกเปลี่ยนสิทธิการชำระราคาจากธนบัตรที่ชำระหนี้ได้ตามกฎหมายไปเป็นคูปองฯ ที่ทางสถานีฯ ออกให้แทนเงินสด สถานีฯ จึงไม่ต้องออกใบกำกับภาษีให้แก่ผู้นำเงินมาชำระเพื่อรับคูปองฯ ไปใช้แต่อย่างใด
  บริษัทฯ ขอหารือว่า ความเข้าใจของบริษัทฯ ถูกต้องหรือไม่"
0038,สถาบัน R เป็นหน่วยงานของรัฐที่เป็นนิติบุคคลจัดตั้งขึ้นตามกฎหมายในระดับพระราชบัญญัติ ไม่เป็นส่วนราชการตามกฎหมายว่าด้วยระเบียบบริหารราชการแผ่นดินและไม่เป็นรัฐวิสาหกิจตามกฎหมายว่าด้วยวิธีการงบประมาณหรือกฎหมายอื่น และรายได้ของสถาบันฯ ให้นำเข้าสมทบกองทุนโดยไม่ต้องนำส่งคลังเป็นรายได้แผ่นดิน ประกอบกิจการขายวัสดุอ้างอิงทางเคมีและฟิสิกส์ เครื่องมือสอบเทียบและก๊าซพร้อมท่อ รวมถึงให้บริการสอบเทียบ จัดฝึกอบรม และให้คำปรึกษาแก่ภาครัฐและเอกชน รายได้ของสถาบันฯ ประกอบด้วย รายได้จากเงินงบประมาณ การขายสินค้าและบริการ เงินช่วยเหลือและบริจาค และรายได้อื่น ต่อมา สถาบันฯ ทำสัญญากับผู้ให้ทุนสนับสนุน เพื่อรับทุนสนับสนุนโครงการ (สัญญารับทุน) โดยที่ผู้ให้ทุนมีวัตถุประสงค์จะสนับสนุนและส่งเสริมการวิจัยและนวัตกรรมเพื่อนำผลจากการดำเนินโครงการไปใช้ประโยชน์ในการแก้ไขปัญหาที่สำคัญของผู้ให้ทุน หรือนำไปใช้ในงานพัฒนากิจการของผู้ให้ทุน ซึ่งสัญญารับทุนฯ ดังกล่าวเป็นตราสารที่จะต้องปิดแสตมป์บริบูรณ์ตามอัตราที่กำหนดไว้ในบัญชีอัตราอากรแสตมป์แห่งประมวลรัษฎากร จึงขอหารือว่า กรณีที่สถาบันฯ ซึ่งเป็นหน่วยงานของรัฐที่จัดตั้งตามพระราชบัญญัติฯ และเป็นฝ่ายที่ต้องเสียอากร จะเข้าลักษณะเป็นรัฐบาล เจ้าพนักงานผู้กระทำงานของรัฐโดยหน้าที่ บุคคลผู้กระทำการของรัฐบาล ฯลฯ ซึ่งจะได้รับยกเว้นอากรแสตมป์ตามมาตรา 121 แห่งประมวลรัษฎากรหรือไม่
0039,"นาย ก. เป็นตัวแทนจำหน่ายสินค้าประเภทวัสดุอุปกรณ์ก่อสร้างของบริษัท ข. โดยลูกค้าจะติดต่อนาย ก. ผ่านเพจใน Facebook ซึ่งเมื่อตกลงแบบอาคาร วัสดุที่ใช้ และประเมินราคาเบื้องต้นแล้ว นาย ก. ในฐานะตัวแทนจำหน่ายจะดำเนินการออกแบบอาคารในรูป 3 มิติ เพื่อให้เห็นภาพรวมของอาคาร พร้อมทำใบเสนอราคาค่าก่อสร้างระบุวัสดุอุปกรณ์ที่ใช้และค่าแรงงานส่งให้บริษัท ข. พิจารณา ซึ่งการเป็นตัวแทนจำหน่ายดังกล่าวบริษัท ข. มิได้กำหนดคุณสมบัติหรือเงื่อนไขของผู้สมัครตัวแทนจำหน่ายให้ต้องมีใบประกอบวิชาชีพวิศวกรรม และตัวแทนจำหน่ายอาจว่าจ้างบุคคลอื่นในการออกแบบอาคารในรูป 3 มิติได้
    เมื่อนาย ก. ออกแบบอาคารในรูป 3 มิติแล้ว ลูกค้าจะนำแบบอาคารดังกล่าวไปให้วิศวกรที่ลูกค้าเป็นผู้จัดหาทำการถอดแบบเพื่อทำแบบแปลนที่กำหนดรายละเอียดตามหลักวิศวกรรม เช่น ขนาดของเสาหรือคานที่จะใช้ก่อสร้าง และวิศวกรของลูกค้าจะเป็นผู้ลงลายมือชื่อรับรองแบบในฐานะวิศวกรโครงสร้างเพื่อใช้ขออนุญาตก่อสร้างจากหน่วยงานส่วนท้องถิ่น เมื่อได้รับอนุญาตให้ก่อสร้างแล้วลูกค้าจะแจ้งบริษัท ข. เพื่อทำสัญญาผลิตและติดตั้งอาคารสำเร็จรูป บริษัท ข. จะนำแบบที่ได้รับอนุญาตให้ก่อสร้างแล้วมาแปลงเป็นแบบของชิ้นส่วนสำเร็จรูป เช่น เสา โครงหลังคา เป็นต้น โดยวิศวกรหรือสถาปนิกของบริษัท ข. เป็นผู้ลงลายมือชื่อรับรองแบบดังกล่าว
    บริษัท ข. จะทำสัญญาฯ กับลูกค้าแต่ละรายโดยตรง โดยมีนาย ก. ลงลายมือชื่อในสัญญาในฐานะตัวแทนจำหน่ายเพียงอย่างเดียว และบริษัท ข. จะเป็นผู้ผลิตและติดตั้งอาคารสำเร็จรูปทั้งหมด จัดหาแรงงานและรับผิดชอบหากมีความเสียหายเกิดขึ้น รวมถึงเป็นผู้รับชำระราคาค่าก่อสร้าง แต่ละสัญญาฯ มีการกำหนดชำระเงินและส่งมอบงานแบ่งออกเป็น 5 งวด นาย ก. จะได้รับส่วนแบ่งร้อยละ 7 ถึงร้อยละ 8 ของค่างวดแต่ละงวด เป็นค่าส่งเสริมการขาย โดยบริษัท ข. จะแบ่งจ่ายเมื่อบริษัท ข. ได้รับชำระเงินจากลูกค้าแต่ละงวด ดังนั้น เงินได้ดังกล่าวถือเป็นเงินได้ประเภทใด อย่างไร"
0040,"บริษัทประกอบกิจการโรงพยาบาลสัตว์ให้บริการเป็นสถานรักษาสัตว์ ได้มีการสั่งซื้อยาเพื่อมาใช้รักษาสัตว์ เมื่อบริษัทฯ คิดค่ารักษาสัตว์กับลูกค้า บริษัทฯ ได้แยกค่ายากับค่าบริการรักษาสัตว์ออกจากกัน บริษัทจึงขอหารือว่า
    1. บริษัทจะเรียกเก็บภาษีมูลค่าเพิ่มเฉพาะค่ารักษาสัตว์ แต่จะไม่เรียกเก็บภาษีมูลค่าเพิ่มสำหรับค่ายาที่ใช้รักษาสัตว์ ถูกต้องหรือไม่
    2. ค่าเคมีภัณฑ์ที่ใช้สำหรับการรักษาสัตว์ เช่น น้ำยาล้างแผล แอลกอฮอล์ น้ำเกลือ เป็นต้น บริษัทจะต้องเรียกเก็บภาษีมูลค่าเพิ่มจากลูกค้าหรือไม่
    3. ค่าเวชภัณฑ์ที่ใช้สำหรับรักษาสัตว์ เช่น สำลี สายน้ำเกลือ เข็มและไหมเย็บ เป็นต้น บริษัทจะต้องเรียกเก็บภาษีมูลค่าเพิ่มหรือไม่"
0041,กรณีเงินได้ของผู้ได้รับใบอนุญาตประกอบวิชาชีพวิทยาศาสตร์และเทคโนโลยีควบคุม นอกเหนือไปจากที่กำหนดไว้ตามมาตรา 40 (6) แห่งประมวลรัษฎากร ซึ่งออกใบอนุญาตโดยหน่วยงาน ก. ภายใต้อำนาจตามกฎหมายระดับพระราชบัญญัติ ดังนั้น กรณีผู้ได้รับใบอนุญาตฯ มีบริษัทหรือหน่วยงานสังกัดอยู่ แต่รับทำงานซึ่งอยู่นอกเหนือจากที่บริษัทหรือหน่วยงานมอบหมายค่าตอบแทนนั้น ถือว่าเป็นค่าตอบแทนซึ่งได้มาจากการประกอบวิชาชีพอิสระตามมาตรา 40 (6) แห่งประมวลรัษฎากร ใช่หรือไม่
0042,"หน่วยงาน ก. เป็นส่วนราชการที่เป็นหน่วยงานอิสระมีฐานะเป็นนิติบุคคล มีอำนาจหน้าที่เกี่ยวกับงานธุรการของหน่วยงาน ข. โดยหน่วยงาน ก. ได้ประกาศรับข้อเสนอโครงการวิจัยโดยกำหนดคุณสมบัติผู้ดำเนินการวิจัยประเภทบุคคล ได้แก่ ข้าราชการหน่วยงาน ข. และลูกจ้าง และผู้ดำเนินการวิจัยเป็นหน่วยงานในสังกัดหน่วยงาน ก. ข้อเสนอโครงการวิจัยจะต้องเป็นประโยชน์ต่อหน่วยงาน ข. สามารถนำไปใช้ในการพัฒนาหน่วยงานได้ ต้องได้รับความเห็นชอบจากผู้บังคับบัญชาต้นสังกัด และอยู่ภายใต้การดูแลการปฏิบัติงานของคณะกรรมการกำกับและประเมินผลงานวิจัย ซึ่งผู้ดำเนินการวิจัยจะได้รับค่าใช้จ่าย ในการดำเนินการวิจัยไม่เกิน 200,000 บาทต่อเรื่อง และหากคณะกรรมการบริหารหน่วยงาน ข. ตามระเบียบว่าด้วยการบริหารการวิจัยของหน่วยงาน ข. เห็นชอบให้โครงการวิจัยนั้น เป็นโครงการวิจัยดีเด่นตามระเบียบฯ จะได้รับเงินรางวัลเพิ่มเติมไม่เกิน 100,000 บาทต่อเรื่อง โดยพิจารณาตามความยากของงานวิจัย
    หน่วยงาน ก. ได้บันทึกค่าใช้จ่าย จำนวน 200,000 บาท เป็นค่าตอบแทนเฉพาะงาน ซึ่งเป็นค่าใช้จ่ายด้านบริหารจัดการกิจกรรมจัดทำงานวิจัย ทั้งนี้ ผู้วิจัยเป็นผู้รับผิดชอบค่าใช้จ่าย เช่น ค่าพาหนะในการเดินทาง ค่าใช้จ่ายในการสืบค้นข้อมูล ฯลฯ และค่าใช้จ่าย จำนวน 200,000 บาท ให้เบิกจ่ายในนามผู้ดำเนินการวิจัย
    ดังนั้น ค่าใช้จ่ายดังกล่าว ถือเป็นเงินค่าตอบแทน หรือเป็นเงินทุนสนับสนุนงานวิจัยของข้าราชการผู้ดำเนินการวิจัยหรือไม่ หากเป็น จะถือเป็นเงินได้พึงประเมินประเภทใด จะต้องหักภาษี ณ ที่จ่ายหรือไม่ หรือจะถือเป็นรางวัลเพื่อการศึกษาค้นคว้าในวิทยาการที่ได้รับยกเว้นไม่ต้องรวมคำนวณภาษีเงินได้ ตามมาตรา 42 (11) แห่งประมวลรัษฎากร หรือไม่ อย่างไร และค่างานวิจัยฯ ที่คณะกรรมการวิจัยเห็นว่างานวิจัยดังกล่าวเป็นงานวิจัยดีเด่น ถือเป็นเงินได้พึงประเมินของผู้ดำเนินการวิจัยหรือไม่ หากเป็นจะถือเป็นเงินได้ประเภทใด และจะต้องหักภาษี ณ ที่จ่ายหรือไม่ หรือจะถือเป็นรางวัลเพื่อการศึกษาค้นคว้าในวิทยาการที่ได้รับยกเว้นไม่ต้องรวมคำนวณภาษีเงินได้ ตามมาตรา 42 (11) แห่งประมวลรัษฎากร หรือไม่ อย่างไร"
0043,หน่วยงาน ก. มีฐานะเป็นส่วนราชการในสำนักงาน ข. สำนักงาน ข. โดยหน่วยงาน ก. ได้ดำเนินการประเมินตำแหน่งและวิทยฐานะข้าราชการเพื่อให้มีวิทยฐานะและเลื่อนวิทยฐานะ โดยดำเนินการผ่านระบบประเมิน วิทยฐานะดิจิทัล และในการนี้ หน่วยงาน ก. โอนจ่ายค่าตอบแทนกรรมการผู้อ่าน ตรวจและประเมินผลงาน ทางวิชาการ (กรรมการฯ) ผ่านระบบ KTB Corporate Online เป็นรายครั้งในอัตราตามหลักเกณฑ์ ที่กระทรวงการคลังกำหนด ค่าตอบแทนที่กรรมการฯ ได้รับจากการอ่าน ตรวจและประเมินผลงาน เข้าลักษณะเป็นเงินได้พึงประเมินประเภทใดและได้รับยกเว้นไม่ต้องนำมารวมคำนวณภาษีเงินได้บุคคลธรรมดาหรือไม่
0044,"หน่วยงาน ก. เป็นองค์กรที่ไม่แสวงหากำไร จัดตั้งขึ้นตามพระราชบัญญัติฯ มีวัตถุประสงค์ปฏิบัติการให้บรรลุวัตถุประสงค์ของหน่วยงาน ข. เช่น ส่งเสริมการศึกษา วิจัย ตามข้อบังคับของหน่วยงาน ข. โดยหน่วยงาน ข. มีฐานะเป็นนิติบุคคล ตามพระราชบัญญัติฯ
    หน่วยงาน ก. จึงขอหารือ ดังนี้
    1. หน่วยงาน ก. จะต้องออกใบเสร็จรับเงินอย่างไร
    2. กรณีหน่วยงาน ก. ออกใบเสร็จรับเงินโดยใช้เลขประจำตัวผู้เสียภาษีของหน่วยงาน ข.
        2.1 หน่วยงาน ก. ต้องเสียภาษีแทนหน่วยงาน ข. หรือไม่
        2.2 หน่วยงาน ข. ต้องเสียภาษีมูลค่าเพิ่มหรือไม่"
0045,"บริษัท ก. ได้ยื่นแบบแสดงรายการภาษีเงินได้นิติบุคคล (แบบ ภ.ง.ด.51) ฉบับปกติ เมื่อวันที่ 9 กันยายน 2562 สำหรับรอบระยะเวลาบัญชีตั้งแต่วันที่ 1 มกราคม 2562 ถึงวันที่ 31 ธันวาคม 2562 และได้ชำระภาษีดังกล่าวไว้แล้ว ต่อมาพบว่าบริษัท ก. มีภาษีเงินได้หัก ณ ที่จ่าย ที่ถูกหักไว้ระหว่างเดือนมกราคม 2562 ถึงเดือนมิถุนายน 2562 จำนวนน้อยกว่าที่ได้ใช้เครดิตไปในการยื่นแบบแสดงรายการดังกล่าว ซึ่งเมื่อคำนวณใหม่ให้ถูกต้องแล้ว ทำให้บริษัท ก. ชำระภาษีไว้ขาด รวมทั้งต้องรับผิดเสียเงินเพิ่มตามมาตรา 27 แห่งประมวลรัษฎากร
    ต่อมาเมื่อวันที่ 21 มิถุนายน 2566 บริษัท ก.ได้ยื่นแบบ ภ.ง.ด.51 ฉบับเพิ่มเติม ซึ่งเป็นการยื่นแบบเกินกำหนดเวลาการยื่นแบบ ภ.ง.ด.51 สำหรับรอบระยะเวลาบัญชีปี 2562 โดยได้ปรับปรุงประมาณการกำไรสุทธิลดลง เพื่อให้คำนวณภาษีเงินได้นิติบุคคลแล้วจะได้เท่ากับจำนวนภาษีเงินได้หัก ณ ที่จ่าย ที่ถูกหักไว้จริงรวมกับภาษีที่ชำระไว้แล้วตามแบบ ภ.ง.ด.51 ฉบับปกติ บริษัท ก. จึงไม่มีจำนวนภาษีที่ต้องชำระเพิ่ม
    ดังนั้น กรณีที่บริษัท ก. ได้ยื่นแบบ ภ.ง.ด.51 ฉบับเพิ่มเติม โดยไม่มีภาษีต้องชำระ ซึ่งเป็นการยื่นแบบเกินกำหนดเวลาและได้ยื่นภายหลังการยื่นแบบ ภ.ง.ด.50 จะเป็นเหตุให้บริษัทฯ ไม่ต้องรับผิดเสียเงินเพิ่มตามมาตรา 27 แห่งประมวลรัษฎากร สำหรับแบบ ภ.ง.ด.51 ฉบับปกติ หรือไม่ อย่างไร"
